=== 2019 RACK RAID EXTRACTION AUDIT CHECKLIST ===

--- LEG 1 ---
Pos 28 | Time: 01:00:01 | DNS Griffithstown A (Pont-y-pwl & District A)
Total Runners Extracted for Leg 7: 28

--- LEG 8 ---
Pos 01 | Time: 01:14:50 | Adam Bull (Aberdare Valley A)
Pos 02 | Time: 01:23:13 | Andy Lee (Pont-y-pwl & District A)
Pos 03 | Time: 01:24:11 | David Lawson (Les Croupiers A)
Pos 04 | Time: 01:25:02 | Martyn Winser Chepstow A (Les Croupiers A)
Pos 05 | Time: 01:25:28 | David Hazell (Caerphilly A)
Pos 06 | Time: 01:26:31 | Sam Lewis Jones Parc Bryn Bach (Aberdare Valley A)
Pos 07 | Time: 01:26:59 | Alistair Downes (San Domenico A)
Pos 08 | Time: 01:27:39 | IwanMorton Torfaen A (Pont-y-pwl & District A)
Pos 09 | Time: 01:30:45 | Jonathan Carter Chepstow B (Spirit of Monmouth B)
Pos 10 | Time: 01:31:05 | Lee Drew Lliswerry A (Ogmore Phoenix A)
Pos 11 | Time: 01:31:37 | Rob Nicholls (Spirit of Monmouth A)
Pos 12 | Time: 01:32:44 | Rob Bickel (Caerleon A)
Pos 13 | Time: 01:33:53 | Steve Lane Islwyn (Caldicot A)
Pos 14 | Time: 01:34:24 | Rob Clarke Caldicot (San Domenico A)
Pos 15 | Time: 01:35:30 | Gerard Gormley (Griffithstown A)
Pos 16 | Time: 01:36:45 | Anneliese Loveluck (Ogmore Phoenix A)
Pos 17 | Time: 01:39:47 | Richard Williams (Rhondda Valley A)
Pos 18 | Time: 01:39:54 | Chris O'Brien Fairwater Cwmbran A (Griffithstown A)
Pos 19 | Time: 01:40:56 | Jamie Davies Lliswerry B (Rhondda Valley B)
Pos 20 | Time: 01:43:49 | Richard Steele (Brackla A)
Pos 21 | Time: 01:45:24 | Carl Urquhart (Pont-y-pwl & District B)
Pos 22 | Time: 01:46:26 | Russell Dobbs Islwyn B (Caerleon B)
Pos 23 | Time: 01:47:06 | Tim Davies (Pontypridd A)
Pos 24 | Time: 01:47:32 | Sian Jones Parc Bryn Bach B (Caerphilly B)
Pos 25 | Time: 01:49:31 | Ryan Jones Caerleon B (Pontypridd B)
Pos 26 | Time: 01:55:40 | Andrew Williamson (Pegasus A)
Pos 27 | Time: 01:58:00 | Mark Prosser Fairwater Cwmbran B (Pont-y-pwl & District B)
Pos 28 | Time: 02:08:00 | DNF (Caerphilly B)
Total Runners Extracted for Leg 8: 28

--- LEG 9 ---
Pos 01 | Time: 00:54:33 | Daniel Bodman (Aberdare Valley A)
Pos 02 | Time: 01:02:17 | Paul Murrin Chepstow A (Lliswerry A)
Pos 03 | Time: 01:04:08 | Dan Madden (Les Croupiers A)
Pos 04 | Time: 01:05:20 | Mark Hobbs Griffithstown (Aberdare Valley A)
