=== 2022 RACK RAID EXTRACTION AUDIT CHECKLIST ===

--- LEG 1 ---
Pos 11 | Time: 00:48:19 | Victoria Hobbs Lliswerry (Fairwater A)
Pos 12 | Time: 00:50:05 | Cyril Williams Parc Bryn Bach A (Chepstow A)
Pos 13 | Time: 00:50:34 | Melissa Morgan Islwyn (San Domenico A)
Pos 14 | Time: 00:51:26 | Steph Rhodes (Lliswerry B)
Pos 15 | Time: 00:51:59 | Carys Thomas Aberdare A (Lliswerry A)
Pos 16 | Time: 00:52:12 | Julia Bajjada Chepstow B (Pontypridd B)
Pos 17 | Time: 00:52:29 | Lisa Freeman Caldicot A (Pont-y-pwl A)
Pos 18 | Time: 00:53:19 | Lowri Williams (Islwyn B)
Pos 19 | Time: 00:53:27 | Rebecca Foster (Monmouth A)
Pos 20 | Time: 00:54:11 | Emma Loyns Ogmore A (Monmouth A)
Pos 21 | Time: 00:54:22 | Sarah Pryor (Les Croupiers A)
Pos 22 | Time: 00:56:19 | Jonathan Churchill Pegasus A (Les Croupiers A)
Pos 23 | Time: 00:56:48 | Jane Lewis Fairwater B (Griffithstown B)
Pos 24 | Time: 00:57:10 | David Bailyes (Caerphilly B)
Pos 25 | Time: 00:57:17 | Mariona del Mar Adrover Amengual (San Domenico A)
Pos 26 | Time: 00:57:38 | Jo Jenkins Ogmore B (Caerleon B)
Pos 27 | Time: 01:00:00 | Ann Timbrell (Caerleon B)
Pos 28 | Time: 01:00:01 | Allison Hughes (Griffithstown B)
Total Runners Extracted for Leg 12: 28

--- LEG 13 ---
Pos 01 | Time: 00:32:45 | Lee Drew Lliswerry (Fairwater A)
Pos 02 | Time: 00:34:15 | Luke Williams (San Domenico A)
Pos 03 | Time: 00:38:59 | Adrian Murkin (Pont-y-pwl A)
Pos 04 | Time: 00:39:34 | Neil Price (Ogmore A)
Pos 05 | Time: 00:39:52 | Richard Lloyd (Fairwater A)
Pos 06 | Time: 00:39:58 | Lisa Jeffrey (Chepstow B)
Pos 07 | Time: 00:40:17 | Tabitha Collins (Chepstow A)
Pos 08 | Time: 00:40:34 | Emma Maloney (Lliswerry B)
Pos 09 | Time: 00:41:50 | Carly Stone (Griffithstown A)
Pos 10 | Time: 00:42:01 | Ryan Davies (Caerleon A)
Pos 11 | Time: 00:43:23 | Sara Williams (Caerphilly A)
Pos 12 | Time: 00:43:37 | Hollie Harmer (Islwyn A)
